building_id,neutral_temp,records,cooling_type,region,t_out_mean
1,22.58573826442118,170,mixed mode,oceania,15.296856508875742
2,22.058338634917742,83,air conditioned,oceania,13.995833333333334
3,23.14218689913402,85,air conditioned,americas,0.5834803921568628
4,23.642083333333318,137,mixed mode,oceania,19.284219527363184
5,22.071787805197552,128,air conditioned,americas,9.048209635416667
6,22.694425259382612,96,air conditioned,americas,17.668113952020203
7,22.304063901584737,152,air conditioned,americas,14.604239766081871
8,21.76144787568954,133,air conditioned,americas,9.088630952380953
9,23.08942467618239,111,air conditioned,americas,11.248123123123122
10,23.99493670886076,17,air conditioned,europe,15.8
11,21.331512605042022,15,air conditioned,europe,16.3
12,23.15186640471513,32,air conditioned,europe,11.5
13,19.727027027027038,16,air conditioned,europe,10.158333333333331
14,19.20826446280992,16,air conditioned,europe,7.25
15,18.86981132075472,6,air conditioned,europe,4.008333333333333
16,22.522222222222222,9,air conditioned,europe,5.008333333333333
17,20.675000000000004,7,air conditioned,europe,8.841666666666667
18,22.65623723334941,31,air conditioned,oceania,15.444489247311829
20,20.034755506952024,10,air conditioned,oceania,11.820833333333333
21,23.054184699964896,17,air conditioned,oceania,11.820833333333333
22,22.381182135391,80,air conditioned,oceania,9.871354166666666
23,21.661504329168437,53,air conditioned,oceania,13.445833333333333
24,22.040338289794814,35,air conditioned,oceania,14.075
25,21.723876319758666,17,air conditioned,oceania,14.075
26,17.591507715691577,17,air conditioned,oceania,11.783333333333331
27,19.714522508816806,10,air conditioned,oceania,11.783333333333331
28,21.559711370493893,24,air conditioned,oceania,11.783333333333331
29,21.87838983878848,12,air conditioned,oceania,16.654166666666665
30,20.590546759277792,25,air conditioned,oceania,10.933333333333332
31,21.088161424042912,17,air conditioned,oceania,10.933333333333334
32,22.561685289917175,32,air conditioned,oceania,12.616666666666667
33,22.35693393562959,12,air conditioned,oceania,16.654166666666665
34,21.89722116603296,16,air conditioned,oceania,14.429166666666667
35,21.962747988810317,39,air conditioned,oceania,14.429166666666669
36,22.623775963669992,95,air conditioned,oceania,14.691052631578948
37,21.583791892098294,31,air conditioned,oceania,13.85
38,23.530201766953198,14,air conditioned,oceania,14.858333333333334
39,22.733494398474484,38,air conditioned,oceania,11.9875
40,23.247527529242802,30,air conditioned,oceania,21.947916666666668
41,23.242875035237702,85,air conditioned,oceania,30.503186274509805
42,22.878933212686118,58,air conditioned,oceania,19.22083333333333
43,22.6650836490811,47,air conditioned,oceania,19.0125
44,24.4359744834809,23,air conditioned,oceania,25.84166666666667
45,24.3628064174607,17,air conditioned,oceania,28.225
46,22.924909063120893,11,air conditioned,oceania,21.947916666666668
47,22.775181534931626,14,air conditioned,oceania,25.84166666666667
48,25.928147308592433,26,air conditioned,oceania,30.441666666666663
49,22.85377777777777,30,air conditioned,oceania,28.225
50,22.040628748500602,17,air conditioned,oceania,21.947916666666668
51,22.93218493592126,33,air conditioned,oceania,30.441666666666663
52,23.834550874915017,92,air conditioned,oceania,23.045471014492755
53,23.562663095086243,29,air conditioned,oceania,24.09166666666667
54,21.542972100045002,17,air conditioned,oceania,24.09166666666667
55,23.457134396763763,60,air conditioned,oceania,25.316666666666663
56,24.270079742364725,195,air conditioned,oceania,26.181088082901553
57,23.576126259349284,102,air conditioned,oceania,25.741176470588233
58,23.81929148008722,69,air conditioned,oceania,25.813043478260873
59,23.651139943841475,114,air conditioned,oceania,26.269298245614035
60,23.325814689828317,84,air conditioned,oceania,26.084939759036146
61,27.561430936531433,157,naturally ventilated,oceania,26.871974522292998
62,27.708038557419158,124,naturally ventilated,oceania,25.653252032520324
63,28.116242181404633,69,naturally ventilated,oceania,25.782608695652176
64,27.499753301429603,211,naturally ventilated,oceania,26.35521327014218
65,26.10449997759255,49,naturally ventilated,oceania,22.820408163265306
66,24.33128575730202,14,air conditioned,oceania,23.61003401360544
67,22.68462469733657,12,air conditioned,oceania,23.869995590828925
68,22.795704956171488,131,air conditioned,oceania,24.792802617230098
69,23.831598926522656,81,air conditioned,oceania,24.84135802469136
70,23.872895259463405,97,air conditioned,oceania,25.358457426498664
71,23.71277258369382,52,air conditioned,oceania,24.90714285714286
72,23.418180731913264,53,air conditioned,oceania,25.219474393530998
73,23.471680445174137,50,air conditioned,oceania,25.291714285714285
74,22.38455664304047,100,air conditioned,oceania,29.12392138526498
75,23.897200108804075,58,air conditioned,oceania,28.91419193809418
76,23.435564047632834,157,air conditioned,oceania,28.872115384615388
77,25.304926555172116,58,air conditioned,oceania,29.048497793784016
78,24.03113774261385,49,air conditioned,oceania,28.200800592345782
79,23.31057108771203,48,air conditioned,oceania,28.672419290992256
80,24.574516431041587,85,air conditioned,oceania,29.05737407783626
81,21.93092882539702,83,air conditioned,oceania,19.34036144578313
82,23.256790051252054,243,air conditioned,oceania,18.761875
83,23.54746986613342,102,air conditioned,oceania,19.620098039215687
84,24.205988378763937,84,air conditioned,oceania,21.15714285714286
85,22.518750067669266,126,naturally ventilated,oceania,19.884400000000003
86,23.045977548600725,411,naturally ventilated,oceania,19.86009732360097
87,22.707339449541287,16,naturally ventilated,oceania,21.450000000000003
88,23.677136033708226,56,air conditioned,oceania,21.43392857142857
89,22.972841678806905,63,air conditioned,oceania,16.916071428571428
90,23.51982532751092,19,air conditioned,oceania,21.40833333333333
91,23.566157280559118,82,air conditioned,oceania,18.87610518292683
92,24.598857877690975,22,air conditioned,oceania,18.8
93,22.615222970704274,61,air conditioned,oceania,19.091840277777774
94,22.938382991306405,22,air conditioned,oceania,17.66903409090909
95,23.479899514864275,45,air conditioned,oceania,19.368333333333332
96,23.242214456747664,38,air conditioned,oceania,19.484155701754382
97,23.603940255380117,100,air conditioned,oceania,18.13402083333333
98,23.734937182588432,105,air conditioned,oceania,19.092936507936507
